time,dipole
1.079999999999992077e+01,9.195545577582744934e-02
1.082499999999991935e+01,9.895553732689948978e-02
1.084999999999991793e+01,1.060027306966276062e-01
1.087499999999991651e+01,1.130963756473076925e-01
1.089999999999991509e+01,1.202354744584135660e-01
1.092499999999991367e+01,1.274191913921983721e-01
1.094999999999991225e+01,1.346479699044716982e-01
1.097499999999991083e+01,1.419243198111786175e-01
1.099999999999990941e+01,1.492524002496926072e-01
1.102499999999990798e+01,1.566373676635602896e-01
1.104999999999990656e+01,1.640838928244872374e-01
1.107499999999990514e+01,1.715948648975594293e-01
1.109999999999990372e+01,1.791709773343340695e-01
1.112499999999990230e+01,1.868115099838208726e-01
1.114999999999990088e+01,1.945153595857222473e-01
1.117499999999989946e+01,2.022814855346655172e-01
1.119999999999989804e+01,2.101085419296590540e-01
1.122499999999989662e+01,2.179943847551129021e-01
1.124999999999989519e+01,2.259363301711045657e-01
1.127499999999989377e+01,2.339318278749248359e-01
1.129999999999989235e+01,2.419787019478417678e-01
1.132499999999989093e+01,2.500745614681191276e-01
1.134999999999988951e+01,2.582162539675478818e-01
1.137499999999988809e+01,2.664002422212643495e-01
1.139999999999988667e+01,2.746238544851582475e-01
1.142499999999988525e+01,2.828862364792991135e-01
1.144999999999988383e+01,2.911879528994417154e-01
1.147499999999988241e+01,2.995303473549408846e-01
1.149999999999988098e+01,3.079152824127155408e-01
1.152499999999987956e+01,3.163453049799399563e-01
1.154999999999987814e+01,3.248228960590295866e-01
1.157499999999987672e+01,3.333499561735148720e-01
1.159999999999987530e+01,3.419272466630342566e-01
1.162499999999987388e+01,3.505542544169437669e-01
1.164999999999987246e+01,3.592300536294466551e-01
1.167499999999987104e+01,3.679544353868044460e-01
1.169999999999986962e+01,3.767283112384691712e-01
1.172499999999986819e+01,3.855531727783570450e-01
1.174999999999986677e+01,3.944305851347740255e-01
1.177499999999986535e+01,4.033625617397100793e-01
1.179999999999986393e+01,4.123510784370925109e-01
1.182499999999986251e+01,4.213977489684572197e-01
1.184999999999986109e+01,4.305028723757254872e-01
1.187499999999985967e+01,4.396653901702508582e-01
